   1  0 Institutt for fremmedspråk [3899846132506878913, institutt]
   2  1   Utdanning [2332832428450146834, navigationpage]
   3  2     Studieprogram [794629421321303275, Studieprogramlister]
   4  2     Integrerte masterprogram  [794629421321303265, Studieprogramlister]
   5  2     Emner [794629421321303282, Studieprogramlister]
   6  2     Fag ved instituttet [4276565899083179149, navigationpage]
   7  3       Arabisk [3894691848154577098, article]
   8  3       Engelsk [9181558315135441228, article]
   9  3       Fransk [3162530039349522853, article]
  10  3       Italiensk [322716504529290795, article]
  11  3       Japansk [8156333305390915063, article]
  12  3       Russisk [3314230215098794396, article]
  13  3       Spansk språk og latinamerikastudium [8931502816667082821, article]
  14  3       Tysk [8298384667668686597, article]
  15  3       Mandarin-kinesisk [4915879571953847907, article]
  16  2     Tysk for utvekslingsstudenter [6908724412122305254, navigationpage]
  17  2     Etter- og videreutdanning [4127452656879184877, navigationpage]
  18  3       ### 2123109457969442117 does not exist!
  19  3       Nettspansk [2387478454684689654, article]
  20  3       Tysk årsstudium [1155025795418845659, article]
  21  3       Mandarin-kinesisk [4915879571953847907, article, DUPLICATE #15]
  22  2     Hva kan du bli med fremmedspråk? [6559711342697904193, navigationpage exp:hf]
  23  3       Jobbmuligheter med arabisk [4017730643420431640, navigationpage]
  24  4         Knut Arne Strømme - Spesialkonsulent i Statoil [4392467584752723376, article]
  25  4         Sindre Aziz-Saltnes - Spesialutsending for utlendingssaker ved Norges ambassade i Syria [4382874787382494570, article]
  26  4         Janne Marie Heitun Kvale - Dokumentgransker ved Nasjonalt Identitets- og Dokumentasjonssenter [3888054715751991434, article]
  27  3       Jobbmuligheter med engelsk [5870454416710895501, navigationpage]
  28  4         Vibeke Vik Nordang - Kommunikasjonsrådgjevar i Statens pensjonskasse [9098478013539545331, article]
  29  4         Rune Eresberg - Tekstar i Biovisjon AS [8653774677113936357, article]
  30  4         Kjellfrid Reite - Oversetter i Aibel AS og Språkkonsulentene AS [1208130970324249638, article]
  31  3       Jobbmuligheter med fransk [6576773374043164017, navigationpage]
  32  4         Anne Kristin Eidsvik Overå - Assisterande dagleg leiar på Hotell Geiranger [4834601829523063320, article]
  33  4         Julie Tønsaker Watkins - Seniorkonsulent ved UiB [5297075453214558291, article]
