865/865,id,pubstate,pubdate,created,modified,word_count,menu_count,title,path
1,17706490769834454,published,2010-10-11 22:37,2010-10-11 22:37,2010-10-18 12:53,0,0,Research Group on the Law of Property and Obligations,/rg/property
2,21132021858699676,published,2012-02-15 23:44,2012-02-15 23:44,2012-02-29 12:41,0,0,Sebrafiskfasiliteten,/sffas
3,21132021858699685,published,2012-02-15 23:45,2012-02-15 23:45,2012-02-15 23:46,0,0,Proteinfasiliteten,/protrens
4,21132021858699694,published,2012-02-15 23:45,2012-02-15 23:45,2012-02-15 23:46,0,0,The Zebrafish Facility,/zffac
5,21132021858699701,published,2012-02-15 23:45,2012-02-15 23:45,2012-03-07 11:46,0,0,The Protein Facility,/protpure
6,42510713335670696,published,2010-12-08 23:39,2010-12-08 23:39,2011-01-26 13:02,12,1,Ikke-lineære bølger,/fg/ikke-lineaere-bolger
7,42510713335670705,published,2010-12-08 23:39,2010-12-08 23:39,2011-03-31 14:30,41,1,Nonlinear Waves,/rg/nonlinear-waves
8,85800601799901700,published,2011-11-07 09:46,2011-11-07 09:46,2012-03-15 14:03,160,1,Strafferettssystemets funksjonalitet,/prosjekt/srf
9,85800601799901709,published,2011-11-07 09:46,2011-11-07 09:46,2012-02-15 14:10,203,0,The functionality of the criminal justice system,/project/fcjs
10,208075975957389311,retracted,2009-01-09 17:42,2009-01-09 17:42,2012-01-04 10:36,153,1,"Avdeling for uorganisk kjemi, nanostrukturer og modellering",/fg/uorgnanomod
11,208075975957389319,retracted,2009-01-09 17:42,2009-01-09 17:42,2012-01-04 10:36,0,0,"Avdeling for organisk -, biofysikalsk - og legemiddelkjemi",/fg/orgbiofarm
12,216001478162513684,published,2010-01-20 23:13,2010-01-20 23:13,2010-09-20 08:36,0,0,Prosjekt vitenskapshistorie,/prosjekt/vitenskapshistorie
13,216001478162513693,published,2010-01-20 23:13,2010-01-20 23:13,2010-01-22 14:38,0,0,Project History of Science,/project/sciencehistory
14,216001478162513700,published,2010-01-20 23:13,2010-01-20 23:13,2011-09-13 06:08,64,2,Molecular and cellular biology of protein modifications,/rg/nat
15,237181814019869494,published,2010-02-09 23:13,2010-02-09 23:13,2011-12-04 12:09,373,1,Filosofisk poliklinikk,/isf/filpol
16,237181814019869503,published,2010-02-09 23:13,2010-02-09 23:13,2010-02-15 09:14,0,0,Philosophical Polyclinic,/isf/filpol/en
17,250049071070656721,published,2010-10-15 07:36,2010-10-15 07:36,2011-09-15 08:51,61,0,Naturens kulturhistorie,/fg/naturkultur
18,320909365646967670,published,2010-01-05 23:14,2010-01-05 23:14,2010-12-02 09:29,420,2,Geodynamikk,/fg/geodyn
19,320909365646967679,published,2010-01-05 23:15,2010-01-05 23:15,2012-03-07 14:52,118,1,Geodynamics,/rg/geodyn
20,365591843047478807,published,2010-05-11 22:19,2010-05-11 22:19,2010-05-11 22:19,0,1,University Liaison Office,/liaison_2
23,483054792763670831,published,2011-04-08 07:08,2011-04-08 07:08,2012-01-26 10:11,255,0,Semantiske og sosiale informasjonssystemer,/fg/ssis
24,563280042351746109,published,2011-01-21 20:42,2011-01-21 20:42,2011-02-03 19:27,7,0,Bergen Transkulturasjon Studieseminar,/fg/btts
25,614694104233541225,published,2011-01-20 23:38,2011-01-20 23:38,2012-02-23 10:32,77,6,"Climate change: media, politics and society",/rg/ccmps
26,624789458010517137,published,2008-12-16 14:39,2008-12-16 14:39,2010-11-17 19:54,0,0,Orale infeksjoner og inflammasjoner,/fg/orinfekinfl
27,673263172443000810,retracted,2008-12-16 12:36,2008-12-16 12:36,2011-05-06 12:57,61,0,Research Group for Biological and Medical Psychology,/fg/bmp
28,785267073003077123,published,2011-11-07 23:46,2011-11-07 23:46,2011-11-07 23:47,0,0,Fagressurser - Spesialsamlingene,/ub/fagressurser/spesialsamlingene
29,785267073003077132,published,2011-11-07 23:46,2011-11-07 23:46,2011-11-07 23:47,0,0,"Fagressurser - Medisin, odontologi og helsefag",/ub/fagressurser/moh
30,785267073003077141,published,2011-11-07 23:46,2011-11-07 23:46,2012-01-11 12:38,0,0,"Fagressurser - Psykologi, utdanning og helse",/ub/fagressurser/puh
31,785267073003077150,published,2011-11-07 23:46,2011-11-07 23:46,2011-11-07 23:47,0,0,Fagressurser - Vitenskapelig publisering,/ub/fagressurser/vitpub
32,785267073003077159,published,2011-11-07 23:46,2011-11-07 23:46,2011-11-07 23:47,0,0,Department of Special Collections Resources,/ub/resources/special_collections
33,785267073003077166,published,2011-11-07 23:46,2011-11-07 23:46,2011-11-09 23:45,0,0,"Medicine, Dentistry and Health Resources",/ub/resources/mdh
34,785267073003077173,published,2011-11-07 23:46,2011-11-07 23:46,2011-11-09 23:45,0,0,"Psychology, Education and Health Resources",/ub/resources/peh
35,785267073003077180,published,2011-11-07 23:46,2011-11-07 23:46,2011-11-07 23:47,0,0,Scientific Publishing Resources,/ub/resources/scipub
36,853564998343250789,published,2008-12-11 14:09,2008-12-11 14:09,2012-03-01 10:53,135,1,Molekylær bioenergetikk og signalomforming,/fg/nadgruppen
37,869414793290954953,published,2009-12-16 09:14,2009-12-16 09:14,2010-01-11 10:05,76,0,"Logikk, informasjon og interaksjon",/fg/lii
38,960401666385782610,retracted,2009-01-16 10:20,2009-01-16 10:20,2012-01-19 23:48,0,0,"Forskergruppe for selskaps-, børs- og verdipapirrett",/fg/selskap
39,960401666385782622,published,2009-01-16 10:20,2009-01-16 10:20,2012-01-26 10:11,0,0,Forskergruppe for forvaltningsrett,/fg/forvrett
40,960401666385782634,published,2009-01-16 10:21,2009-01-16 10:21,2012-01-27 12:31,103,0,"Forskergruppe for erstatningsrett, forsikringsrett og trygderett",/fg/erstatning
41,960401666385782646,published,2009-01-16 10:21,2009-01-16 10:21,2012-01-26 10:11,0,0,Forskergruppe for helse- og sosialrett,/fg/hs
42,1054184713157431070,published,2010-03-25 23:18,2010-03-25 23:18,2012-01-26 10:11,48,0,Felles forskningslaboratorier,/ffl
43,1054184713157431091,published,2010-03-25 23:18,2010-03-25 23:18,2011-02-03 15:43,0,0,Medical Research Center,/ffl/en
44,1069736383856924474,published,2010-11-25 23:38,2010-11-25 23:38,2011-04-04 14:08,18,0,Nasjonal forskerskole for lærerutdanning (NAFOL),/fs/nafol
45,1069736383856924483,published,2010-11-25 23:38,2010-11-25 23:38,2011-04-04 14:08,25,0,Nasjonal forskerskole i utdanningsforskning (NATED),/fs/nated
46,1069736383856924492,published,2010-11-25 23:38,2010-11-25 23:38,2010-11-25 23:38,0,0,The National Graduate School in Educational Research,/rs/nated
47,1069736383856924499,published,2010-11-25 23:38,2010-11-25 23:38,2010-11-25 23:38,0,0,The Norwegian National Post Graduate School in Teacher Education,/rs/nafol
