79/79,id,pubstate,pubdate,created,modified,word_count,menu_count,title,path
1,23874681999807992,published,2008-11-19 12:11,2008-11-19 12:11,2009-02-03 16:11,90,0,Da verden kom til Dragefjellet!,/jur/nyheter/2008/11/internasjonal-dag
2,68494786682413816,published,2011-11-17 15:36,2011-11-17 13:55,2011-11-18 08:31,849,0,Stor oppgave = stor frihet ,/jur/nyheter/2011/11/stor-oppgave-stor-frihet
3,228072302277166265,published,2011-05-30 07:58,2011-05-27 11:37,2012-01-05 14:04,639,0,Grunnloven under lupen ,/jur/nyheter/2011/05/grunnloven-under-lupen
4,250108739981274249,published,2011-05-09 09:34,2011-05-09 09:33,2011-05-09 14:42,618,0,Ny arvelov for nye generasjoner,/jur/nyheter/2011/05/ny-arvelov-for-nye-generasjoner
5,304610911721486396,published,2010-10-13 09:38,2010-10-13 09:37,2010-10-13 09:39,352,0,Minneord for dr.juris Helge Johan Thue ,/jur/nyheter/2010/10/minneord-for-dr.juris-helge-johan-thue
6,363428071249312825,published,2009-01-20 14:51,2009-01-20 14:51,2009-03-02 13:01,226,0,Norge og Schengen - ny bok,/jur/nyheter/2009/01/-Norge-og-Schengen----ny-bok-
7,487852108138560799,published,2011-03-22 07:29,2011-03-22 07:29,2011-04-01 14:01,606,0,Utfordringar i juristutdanninga,/jur/nyheter/2011/03/faglege-og-pedagogiske-utfordringar-i-juristutdanninga
8,732358973082766445,published,2011-08-19 12:46,2011-08-19 12:40,2011-08-22 06:56,671,0,Rekordmange internasjonale studenter,/jur/nyheter/2011/08/rekordhoyt-antall-internasjonale-studenter
9,779616428926384461,published,2011-05-12 10:22,2011-05-12 10:18,2011-05-16 11:37,338,0,Arbeidslivet venter!,/jur/nyheter/2011/05/arbeidslivet-venter
10,803419153346801791,published,2011-06-15 07:42,2011-06-15 07:02,2011-06-15 11:48,532,0,Kinas ambassadør til Dragefjellet,/jur/nyheter/2011/06/kinas-ambassador-til-dragefjellet
11,923773978340360612,published,2009-09-24 11:24,2009-09-24 11:24,2009-09-25 07:25,360,0,Lidenskap er viktigst,/jur/nyheter/2009/09/lidenskap-er-viktigst
12,1155865638688081578,published,2009-12-07 08:23,2009-12-07 07:48,2009-12-29 13:02,714,0,Jusstudent i rettssak i Sør-Afrika,/jur/nyheter/2009/12/jusstudent-i-rettssak-i-sor-afrika
13,1207330281528197109,published,2011-03-31 14:01,2011-03-30 20:46,2011-03-31 18:00,611,0,Jusstudentene tar et sidesprang,/jur/nyheter/2011/03/jusstudentene-tar-et-sidesprang
14,1336893151397850301,published,2010-04-12 08:41,2010-03-25 15:11,2010-04-15 06:54,762,0,Kven har rett til å eige?,/jur/nyheter/2010/04/kven-har-rett-til-aa-eige
15,1425190025813123872,published,2009-09-29 10:56,2009-09-29 10:56,2009-09-29 11:01,287,0,– Ny teknologi fremmer demokrati ,/jur/nyheter/2009/09/-ny-teknologi-fremmer-demokrati
16,1870735691863240325,published,2010-12-14 13:27,2010-12-14 10:31,2010-12-14 13:31,702,0,Å steppe inn for John Birks,/jur/nyheter/2010/12/aa-steppe-inn-for-john-birks
17,1878598056310267237,published,2011-01-19 10:24,2011-01-19 10:20,2011-01-27 09:42,829,0,Juss satser internasjonalt ,/jur/nyheter/2011/01/juss-satser-internasjonalt
18,1916760687772272117,published,2009-02-25 07:28,2009-02-25 07:28,2009-03-13 12:01,120,0,Nytt forskningsprosjekt - Corporate Governance i norsk rett,/jur/nyheter/2009/02/nytt-forskningsprosjekt---corporate-governance-i-norsk-rett
19,2007630529112020832,published,2010-08-19 12:56,2010-08-19 12:53,2010-08-24 05:44,495,0,Internasjonalt innrykk på Dragefjellet,/jur/nyheter/2010/08/verda-har-kome-til-dragefjellet
20,2023122576161765811,published,2009-02-01 14:05,2009-02-01 14:05,2009-02-09 09:08,106,0,Fakultetet må kutte i undervisningstilbud,/jur/nyheter/2009/02/maa-kutte-i-undervisningstilbud-
21,2041580560099212574,published,2010-04-26 13:23,2010-04-26 12:06,2010-04-26 14:27,616,0,"Visjonær, men realistisk ",/jur/nyheter/2010/04/visjonaer-men-realistisk
22,2286717410026832472,published,2009-12-08 10:21,2009-12-08 10:20,2009-12-08 10:21,69,0,Tvil om tvang,/jur/nyheter/2009/12/tvil-om-tvang
23,2289847229880692447,published,2010-04-16 12:10,2010-04-16 12:09,2010-04-16 12:56,498,0,Ambassadørbesøk på Dragefjellet,/jur/nyheter/2010/04/ambassadorbesok-paa-dragefjellet
24,2403101483211637702,published,2010-04-29 07:53,2010-04-29 07:50,2010-06-03 12:23,205,0,Stor økning i antall søkere,/jur/nyheter/2010/04/stor-okning-i-antall-sokere
